,batch_name,S_id,feature,CHIR_conc,label_24,delta_CHIR_conc_24,label_36,delta_CHIR_conc_36,label_48,delta_CHIR_conc_48
127,CD01-3,32,"[4.671565434283699, 5.0991080071267865, 5.2970557519708805, 0.5596626353309724, 0.5404254593887611, 0.5208106945559382, 2.481770849594511, 2.5344426002809617, 2.5669070110677925, 0.9266530433401817, 0.883969238852798, 0.8851082858832291, 1.1384259994756836, 1.3575765659015022, 1.449402602958162, 0.821461685468106, 0.6516936983922611, 0.61072931743609, 1.0783931, 0.8540524, 0.8158522]",4,low,-2,low,-2,low,-2
81,CD01-1,82,"[5.080330381361474, 5.550541431737021, 5.695922675937673, 0.5447734222171914, 0.516886705229798, 0.4976151817682317, 2.57643887814322, 2.63313090613404, 2.646126893864466, 0.9515212300851967, 0.9241219723062657, 0.911656286623522, 1.174043920454092, 1.6893666952526882, 2.1556052259608434, 0.8215801323355495, 0.5530469581486844, 0.4239154857809544, 1.0638278, 0.999534, 1.0131228]",10,high,2,high,4,high,4
377,CD01-4,90,"[4.14017725831226, 4.433430517954791, 4.616447768161095, 0.5368017272043674, 0.5260937102679872, 0.5155352372334026, 2.520277778769663, 2.5476302279444654, 2.561776127199853, 0.9834567496167402, 0.9647324974842186, 0.9385511236318769, 0.810247955255805, 0.6284849196423868, 0.640264590667993, 1.2420214476081757, 1.53541088523713, 1.4664267214760986, 0.95353293, 0.91757524, 0.90365124]",8,optimal,0,optimal,0,optimal,0
232,CD01-2,41,"[4.295549818532519, 4.52285695142938, 4.693859278799715, 0.5449349519274052, 0.5364008411078697, 0.5283529964290182, 2.527846124217336, 2.549899870231418, 2.5659045716149005, 0.9642725183703951, 0.9404409153746903, 0.9095467541978147, 0.9960130001884075, 0.9370158073837563, 0.9489738434906074, 0.9693301066307969, 1.0037595739698857, 0.9586096947792868, 0.94922775, 0.9311247, 0.92972535]",6,optimal,0,optimal,0,high,2
44,CD01-1,45,"[4.8020282798601865, 5.22287598245916, 5.5713384046500805, 0.5481319359800056, 0.5179478278423698, 0.4908607941550798, 2.5010637528242787, 2.553455007043283, 2.596380702456558, 0.9152708237503842, 0.8980721404574057, 0.8721896779264587, 1.0597225921173237, 1.3312049390273972, 1.4670056390388326, 0.8682715409427354, 0.6761634165289946, 0.5947935126508567, 0.98527247, 0.86385065, 0.8320822]",6,optimal,0,optimal,0,optimal,0
164,CD01-3,69,"[4.743171173630336, 5.059832296637716, 5.109035601726019, 0.544512214163345, 0.5151382209135121, 0.4973094447821989, 2.4886538198904304, 2.539842349240686, 2.5577053450705023, 0.875444438911113, 0.8699154087631888, 0.8938119760140455, 1.3528739988275758, 1.6118288551263762, 1.7474425903915007, 0.6524553019152846, 0.540056416649031, 0.51152008237052, 1.0390284, 0.781984, 0.84838307]",8,optimal,0,optimal,0,optimal,0
276,CD01-2,85,"[4.366434180994633, 4.6198871650217725, 4.780882423336316, 0.5417398025715676, 0.5238680455193488, 0.5115910909774066, 2.511234024476853, 2.5297580063970035, 2.5346538984710976, 0.9790723610184513, 0.9349096328374809, 0.8720430428735964, 0.9013690356156127, 0.8134613979268314, 0.8558901763348322, 1.0885473248290287, 1.149193524010389, 1.0198163020787623, 1.0377935, 1.0105748, 0.98514664]",10,optimal,0,high,2,high,6
89,CD01-1,90,"[5.122731541658741, 5.542942604233968, 5.659637902385821, 0.543773295580999, 0.5105805416597414, 0.4842995402380488, 2.5471618228736355, 2.6016540103755017, 2.6095552990055086, 0.9543486299283511, 0.9335883030712384, 0.9126579522428384, 1.1237786495492506, 1.4903548425160604, 1.9028202248041282, 0.8552453917711612, 0.6301116061304849, 0.48110583221234265, 1.005874, 0.920828, 0.95929134]",10,high,2,high,4,high,4
316,CD01-4,29,"[4.118305116371303, 4.453355530419464, 4.719031384702686, 0.569777951888075, 0.5567542532578909, 0.5423238320064331, 2.531285890644085, 2.5698153618597144, 2.6014956030551475, 0.9804628746368433, 0.9817409297608531, 0.9741902683589108, 0.8831764819404053, 0.6369009537322441, 0.6048609951903786, 1.1250577651120086, 1.5446581989505568, 1.6107429946334677, 0.9343558, 0.8965, 0.8838222]",6,optimal,0,optimal,0,optimal,0
358,CD01-4,71,"[4.14661610776678, 4.383856384283029, 4.604364433579725, 0.5670964492272178, 0.5569200504361912, 0.544303237545861, 2.534276682788634, 2.5676988962588343, 2.6008391953803898, 0.9765623571768755, 0.966655931485991, 0.9547988437413162, 0.9752487365946617, 0.8332500638463778, 0.8553960003368657, 1.0074162597089482, 1.1602531411288415, 1.116298341915075, 0.9255008, 0.90355814, 0.8982385]",2,low,-2,low,-2,low,-2
341,CD01-4,54,"[4.099450690500956, 4.405240675935309, 4.680127642350002, 0.5757791843092651, 0.5651934495111619, 0.5526796831780318, 2.5296495634197016, 2.5629825709880083, 2.595975653040975, 0.9686032816064538, 0.9648219292381033, 0.9536297226282063, 1.0149859474332108, 0.7623674490692789, 0.7075614454624339, 0.9673562036437734, 1.2671712516547629, 1.3479158224597847, 0.9434503, 0.926203, 0.9015709]",6,optimal,0,optimal,0,optimal,0
200,CD01-2,9,"[4.42902416296349, 4.625731039774604, 4.768114611556401, 0.5499053374176158, 0.5340103892428443, 0.5201715406317864, 2.5343509907701636, 2.5489495214551274, 2.5578777594474302, 0.9484547331350973, 0.9041587870414517, 0.8542790053420536, 1.0028415867601919, 1.0127873094601167, 1.1154788318005593, 0.9462407697747363, 0.8934048645775107, 0.7664021398644543, 0.97307956, 0.95427054, 0.93106556]",4,optimal,0,optimal,0,optimal,0
